x,f
0.000000,0.000000
0.001667,-0.000000
0.003333,0.000000
0.005000,-0.000000
0.006667,0.000000
0.008333,-0.000000
0.010000,0.000000
0.011667,-0.000000
0.013333,0.000000
0.015000,-0.000000
0.016667,0.000000
0.018333,-0.000000
0.020000,0.000000
0.021667,-0.000000
0.023333,0.000000
0.025000,-0.000000
0.026667,0.000000
0.028333,-0.000000
0.030000,0.000000
0.031667,-0.000000
0.033333,0.000000
0.035000,-0.000000
0.036667,0.000000
0.038333,-0.000000
0.040000,0.000000
0.041667,-0.000000
0.043333,0.000000
0.045000,-0.000000
0.046667,0.000000
0.048333,-0.000000
0.050000,0.000000
0.051667,-0.000000
0.053333,0.000000
0.055000,-0.000000
0.056667,0.000000
0.058333,-0.000000
0.060000,0.000000
0.061667,-0.000000
0.063333,0.000000
0.065000,-0.000000
0.066667,0.000000
0.068333,-0.000001
0.070000,0.000001
0.071667,-0.000002
0.073333,0.000002
0.075000,-0.000003
0.076667,0.000002
0.078333,-0.000001
0.080000,-0.000001
0.081667,0.000004
0.083333,-0.000007
0.085000,0.000008
0.086667,-0.000005
0.088333,-0.000000
0.090000,0.000007
0.091667,-0.000010
0.093333,0.000007
0.095000,0.000003
0.096667,-0.000011
0.098333,0.000010
0.100000,0.000001
0.101667,-0.000013
0.103333,0.000012
0.105000,0.000003
0.106667,-0.000016
0.108333,0.000009
0.110000,0.000012
0.111667,-0.000018
0.113333,-0.000004
0.115000,0.000022
0.116667,-0.000005
0.118333,-0.000023
0.120000,0.000013
0.121667,0.000023
0.123333,-0.000018
0.125000,-0.000025
0.126667,0.000021
0.128333,0.000030
0.130000,-0.000020
0.131667,-0.000038
0.133333,0.000012
0.135000,0.000049
0.136667,0.000006
0.138333,-0.000054
0.140000,-0.000037
0.141667,0.000040
0.143333,0.000072
0.145000,0.000007
0.146667,-0.000080
0.148333,-0.000082
0.150000,0.000016
0.151667,0.000118
0.153333,0.000116
0.155000,-0.000008
0.156667,-0.000157
0.158333,-0.000206
0.160000,-0.000093
0.161667,0.000133
0.163333,0.000341
0.165000,0.000393
0.166667,0.000213
0.168333,-0.000176
0.170000,-0.000664
0.171667,-0.001077
0.173333,-0.001227
0.175000,-0.000937
0.176667,-0.000063
0.178333,0.001503
0.180000,0.003832
0.181667,0.006967
0.183333,0.010934
0.185000,0.015740
0.186667,0.021387
0.188333,0.027869
0.190000,0.035178
0.191667,0.043301
0.193333,0.052225
0.195000,0.061934
0.196667,0.072412
0.198333,0.083640
0.200000,0.095598
0.201667,0.108266
0.203333,0.121621
0.205000,0.135640
0.206667,0.150298
0.208333,0.165570
0.210000,0.181428
0.211667,0.197845
0.213333,0.214793
0.215000,0.232240
0.216667,0.250158
0.218333,0.268513
0.220000,0.287275
0.221667,0.306410
0.223333,0.325884
0.225000,0.345664
0.226667,0.365715
0.228333,0.386002
0.230000,0.406488
0.231667,0.427138
0.233333,0.447917
0.235000,0.468786
0.236667,0.489711
0.238333,0.510653
0.240000,0.531577
0.241667,0.552445
0.243333,0.573221
0.245000,0.593869
0.246667,0.614353
0.248333,0.634635
0.250000,0.654681
0.251667,0.674456
0.253333,0.693925
0.255000,0.713054
0.256667,0.731809
0.258333,0.750158
0.260000,0.768067
0.261667,0.785506
0.263333,0.802444
0.265000,0.818852
0.266667,0.834700
0.268333,0.849962
0.270000,0.864609
0.271667,0.878616
0.273333,0.891960
0.275000,0.904615
0.276667,0.916561
0.278333,0.927776
0.280000,0.938241
0.281667,0.947937
0.283333,0.956847
0.285000,0.964955
0.286667,0.972248
0.288333,0.978712
0.290000,0.984337
0.291667,0.989112
0.293333,0.993028
0.295000,0.996080
0.296667,0.998262
0.298333,0.999569
0.300000,1.000000
0.301667,0.999554
0.303333,0.998231
0.305000,0.996035
0.306667,0.992968
0.308333,0.989036
0.310000,0.984246
0.311667,0.978607
0.313333,0.972128
0.315000,0.964821
0.316667,0.956698
0.318333,0.947776
0.320000,0.938065
0.321667,0.927590
0.323333,0.916358
0.325000,0.904404
0.326667,0.891731
0.328333,0.878380
0.330000,0.864361
0.331667,0.849698
0.333333,0.834437
0.335000,0.818564
0.336667,0.802160
0.338333,0.785207
0.340000,0.767753
0.341667,0.749852
0.343333,0.731480
0.345000,0.712723
0.346667,0.693601
0.348333,0.674105
0.350000,0.654335
0.351667,0.634297
0.353333,0.613987
0.355000,0.593509
0.356667,0.572878
0.358333,0.552074
0.360000,0.531202
0.361667,0.510307
0.363333,0.489351
0.365000,0.468401
0.366667,0.447560
0.368333,0.426801
0.370000,0.406118
0.371667,0.385624
0.373333,0.365383
0.375000,0.345344
0.376667,0.325523
0.378333,0.306045
0.380000,0.286966
0.381667,0.268229
0.383333,0.249830
0.385000,0.231884
0.386667,0.214488
0.388333,0.197609
0.390000,0.181185
0.391667,0.165259
0.393333,0.149967
0.395000,0.135384
0.396667,0.121464
0.398333,0.108123
0.400000,0.095369
0.401667,0.083321
0.403333,0.072108
0.405000,0.061767
0.406667,0.052221
0.408333,0.043359
0.410000,0.035138
0.411667,0.027619
0.413333,0.020947
0.415000,0.015270
0.416667,0.010675
0.418333,0.007148
0.420000,0.004584
0.421667,0.002816
0.423333,0.001658
0.425000,0.000937
0.426667,0.000509
0.428333,0.000266
0.430000,0.000134
0.431667,0.000065
0.433333,0.000030
0.435000,0.000014
0.436667,0.000006
0.438333,0.000003
0.440000,0.000001
0.441667,0.000000
0.443333,0.000000
0.445000,0.000000
0.446667,0.000000
0.448333,0.000000
0.450000,0.000000
0.451667,0.000000
0.453333,0.000000
0.455000,0.000000
0.456667,0.000000
0.458333,0.000000
0.460000,0.000000
0.461667,0.000000
0.463333,0.000000
0.465000,0.000000
0.466667,0.000000
0.468333,0.000000
0.470000,0.000000
0.471667,0.000000
0.473333,0.000000
0.475000,0.000000
0.476667,0.000000
0.478333,0.000000
0.480000,0.000000
0.481667,0.000000
0.483333,0.000000
0.485000,0.000000
0.486667,0.000000
0.488333,0.000000
0.490000,0.000000
0.491667,0.000000
0.493333,0.000000
0.495000,0.000000
0.496667,0.000000
0.498333,0.000000
0.500000,0.000000
0.501667,0.000000
0.503333,0.000000
0.505000,0.000000
0.506667,0.000000
0.508333,0.000000
0.510000,0.000000
0.511667,0.000000
0.513333,0.000000
0.515000,0.000000
0.516667,0.000000
0.518333,0.000000
0.520000,0.000000
0.521667,0.000000
0.523333,0.000000
0.525000,0.000000
0.526667,0.000000
0.528333,0.000000
0.530000,0.000000
0.531667,0.000000
0.533333,0.000000
0.535000,0.000000
0.536667,0.000000
0.538333,0.000000
0.540000,0.000000
0.541667,0.000000
0.543333,0.000000
0.545000,0.000000
0.546667,0.000000
0.548333,0.000000
0.550000,0.000000
0.551667,0.000000
0.553333,0.000000
0.555000,0.000000
0.556667,0.000000
0.558333,0.000000
0.560000,0.000000
0.561667,0.000000
0.563333,0.000000
0.565000,0.000000
0.566667,0.000000
0.568333,0.000000
0.570000,0.000000
0.571667,0.000000
0.573333,0.000000
0.575000,0.000000
0.576667,0.000000
0.578333,0.000000
0.580000,0.000000
